bggid;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image;other_names;name
421;196;2;7;180;360;https://cf.geekdo-images.com/3EmD1SEI5fVpR4rbdkU0AA__thumb/img/v_GuoUgKbMTvzcRkTcH6aOH9wWs=/fit-in/200x150/filters:strip_icc()/pic882119.jpg;https://cf.geekdo-images.com/3EmD1SEI5fVpR4rbdkU0AA__original/img/M6qiL7ZNU_mjgZXHZjOrVxNamfU=/0x0/filters:format(jpeg)/pic882119.jpg;"[""1830: Ferrovie e Capitani d'Industria""; ""1830: Schienenleger & Spekulanten""; ""1830: The Game of Railroads and Robber Barons""]";1830: Railways & Robber Barons
56257;;2;6;30;40;https://cf.geekdo-images.com/2eDT8qiYcnTheJab6cQ8dA__thumb/img/BDOnR0lnbcglvxjEkInC5bs-ulY=/fit-in/200x150/filters:strip_icc()/pic557792.jpg;https://cf.geekdo-images.com/2eDT8qiYcnTheJab6cQ8dA__original/img/n7iwpXA2ARwEtHHOalUvErEAung=/0x0/filters:format(jpeg)/pic557792.jpg;[];1886 Loures
250621;2172;1;4;60;90;https://cf.geekdo-images.com/9uH76qr1SXvqoHcmkhb3Gw__thumb/img/hH_LkG15LQc8Z20Jii418njxQsU=/fit-in/200x150/filters:strip_icc()/pic4074251.jpg;https://cf.geekdo-images.com/9uH76qr1SXvqoHcmkhb3Gw__original/img/7eDle2BpZYxzEkbDJhUr91gTA0k=/0x0/filters:format(jpeg)/pic4074251.jpg;"[""18\ub9b4\ub9ac\ud37c\ud2b8""]";18Lilliput
257668;2919;2;4;45;60;https://cf.geekdo-images.com/EqM5aQcfwgixrIyQ6F3Zvg__thumb/img/HvWKD8jJzzMa2fOYUL3w2RN1exw=/fit-in/200x150/filters:strip_icc()/pic4256174.jpg;https://cf.geekdo-images.com/EqM5aQcfwgixrIyQ6F3Zvg__original/img/LTErYkVCAp-2Jet7kURvhRpnwkQ=/0x0/filters:format(jpeg)/pic4256174.jpg;[];1906 San Francisco
279306;3585;2;2;45;45;https://cf.geekdo-images.com/KUZAIwhKn-gR7gKkunvDNg__thumb/img/7HaCV_GBTz0xJZYlzn_eFjrTXmg=/fit-in/200x150/filters:strip_icc()/pic4741327.jpg;https://cf.geekdo-images.com/KUZAIwhKn-gR7gKkunvDNg__original/img/NgsRhiVqAz9ea_aSzHHGtiZv7Xo=/0x0/filters:format(jpeg)/pic4741327.jpg;[];1987 Channel Tunnel
68448;60;2;7;30;30;https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__thumb/img/ZlG_SRFChObHenw79fAve56_mnk=/fit-in/200x150/filters:strip_icc()/pic860217.jpg;https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__original/img/JQvRoz0xns9LZII74-ygKGDq_Es=/0x0/filters:format(jpeg)/pic860217.jpg;"[""7 csoda""; ""7 Cud\u00f3w \u015awiata""; ""7 div\u016f sv\u011bta""; ""7 \u0447\u0443\u0434\u0435\u0441""; ""7 \u0e2a\u0e34\u0e48\u0e07\u0e21\u0e2b\u0e31\u0e28\u0e08\u0e23\u0e23\u0e22\u0e4c""; ""7 \uc6d0\ub354\uc2a4""; ""\u03a4\u03b1 7 \u03b8\u03b1\u03cd\u03bc\u03b1\u03c4\u03b1 \u03c4\u03bf\u03c5 \u03ba\u03cc\u03c3\u03bc\u03bf\u03c5""; ""\u4e03\u5927\u5947\u8e5f""; ""\u4e16\u754c\u306e\u4e03\u4e0d\u601d\u8b70""]";7 Wonders
204592;8310;2;4;10;25;https://cf.geekdo-images.com/FAdF7OrAyVM6RlkwBiWyzw__thumb/img/bdptLvMzR46OjLEQJ2jMug28x44=/fit-in/200x150/filters:strip_icc()/pic3147263.jpg;https://cf.geekdo-images.com/FAdF7OrAyVM6RlkwBiWyzw__original/img/Y9DGLJM1sldpxR72cxDv1Z8KbZo=/0x0/filters:format(jpeg)/pic3147263.jpg;"[""El Bosque Misterioso""; ""A Floresta Misteriosa""; ""La foresta misteriosa""; ""La For\u00eat myst\u00e9rieuse""; ""La For\u00eat myst\u00e9rieuse""; ""La For\u00eat myst\u00e9rieuse""; ""Der Mysteri\u00f6se Wald""]";The Mysterious Forest
194880;903;2;4;30;30;https://cf.geekdo-images.com/CtVH__gM0TBISzOzV3OeFQ__thumb/img/2aOcQ_RKw7fJYJTTdWrFHIk6coE=/fit-in/200x150/filters:strip_icc()/pic3176771.jpg;https://cf.geekdo-images.com/CtVH__gM0TBISzOzV3OeFQ__original/img/d2B_-IP89EV5g22xMzggb4yyit0=/0x0/filters:format(jpeg)/pic3176771.jpg;"[""\u00c1lomh\u00e1z""; ""La Casa dei Sogni""; ""Domek""; ""Droomhuis""; ""D\u016fm sn\u016f""; ""Hogar; Dulce Hogar""; ""Mein Traumhaus""; ""A Nossa Casa""; ""\u03a3\u03c0\u03af\u03c4\u03b9 \u03bc\u03bf\u03c5 \u03a3\u03c0\u03b9\u03c4\u03ac\u03ba\u03b9 \u03bc\u03bf\u03c5""; ""\u0414\u043e\u043c\u0438\u043a""; ""\u5922\u60f3\u5bb6\u5712""; ""\ub4dc\ub9bc \ud648""]";Dream Home
257077;4932;2;4;45;90;https://cf.geekdo-images.com/gakG4FEJdfaqURSbybTdHg__thumb/img/u2l41coertqzk9lIFi6FDpgpdik=/fit-in/200x150/filters:strip_icc()/pic4296635.jpg;https://cf.geekdo-images.com/gakG4FEJdfaqURSbybTdHg__original/img/4Rwogz693s9iMfZB_BesEvTXPWQ=/0x0/filters:format(jpeg)/pic4296635.jpg;[];A Pleasant Journey to Neko
130792;2590;2;4;15;25;https://cf.geekdo-images.com/ob-HUZ7U0MS9mBwUmcE4tQ__thumb/img/yZMnlLp8UogJJwLTFbjrUMsif7g=/fit-in/200x150/filters:strip_icc()/pic2303487.jpg;https://cf.geekdo-images.com/ob-HUZ7U0MS9mBwUmcE4tQ__original/img/xHqWHZYrWJHXw6fNY8iHkyvb4JE=/0x0/filters:format(jpeg)/pic2303487.jpg;"[""De betoverde toren""; ""Az elvar\u00e1zsolt torony""; ""The Magic Tower""; ""La torre embruixada""; ""La torre encantada""; ""La torre stregata""; ""La Tour enchant\u00e9e""; ""Der verzauberte Turm""; ""Za\u010darovan\u00e1 v\u011b\u017e""; ""Zakl\u0119ta Wie\u017ca""; ""\u039f \u039c\u03b1\u03b3\u03b5\u03bc\u03ad\u03bd\u03bf\u03c2 \u03a0\u03cd\u03c1\u03b3\u03bf\u03c2""; ""\u9b54\u6cd5\u9ad8\u5854""]";The Enchanted Tower
230085;994;2;4;90;120;https://cf.geekdo-images.com/cb8ydtRuQ-SADwD35oHX9w__thumb/img/wYEIi8jZ2AYZjH4ccv7uSld86L0=/fit-in/200x150/filters:strip_icc()/pic3621105.jpg;https://cf.geekdo-images.com/cb8ydtRuQ-SADwD35oHX9w__original/img/04eMY8p7oP_tzCMfyzR2VdFWDNI=/0x0/filters:format(jpeg)/pic3621105.jpg;"[""\u963f\u683c\u62c9""]";Agra
256442;4313;3;4;75;120;https://cf.geekdo-images.com/OT5ZEWTIHheSBYJiSgRi2g__thumb/img/TMLm10i_IB2PLTyRTjSZ8HOS4mc=/fit-in/200x150/filters:strip_icc()/pic5873955.jpg;https://cf.geekdo-images.com/OT5ZEWTIHheSBYJiSgRi2g__original/img/RTuonBi2HMnvn8qsojNmzzyqOmc=/0x0/filters:format(jpeg)/pic5873955.jpg;"[""\u98db\u884c\u8239\u90fd\u5e02""]";Airship City
